startdate._.Date started,socio4qde._.Please select the range of your salary,socio4qnl._.Please select the range of your salary,socio4quk._.Please select the range of your salary,socio4qus._.Please select the range of your salary,socio4qzaf._.Please select the range of your salary,socio4qnzl._.Please select the range of your salary,socio4qaus._.Please select the range of your salary
2018-09-14 09:08:36,,,"≥ £32,277 and < £43,325",,,,
2018-09-14 09:37:43,Between 50.000 and 54.999 EUR,,,,,,
2018-09-14 10:02:34,Between 50.000 and 54.999 EUR,,,,,,
2018-09-14 10:04:33,,,"≥ £43,325 and < £58,172",,,,
2018-09-14 11:11:50,,,"≥ £32,277 and < £43,325",,,,
2018-09-14 11:28:51,,,"≥ £32,277 and < £43,325",,,,
2018-09-14 11:54:59,,,"≥ £32,277 and < £43,325",,,,
2018-09-14 12:14:03,,,"≥ £24,057 and < £32,277",,,,
2018-09-14 12:43:41,,,"≥ £32,277 and < £43,325",,,,
2018-09-14 13:03:49,,,"≥ £32,277 and < £43,325",,,,
2018-09-14 14:19:32,,,,,,,
2018-09-14 14:35:51,,,"≥ £43,325 and < £58,172",,,,
2018-09-14 15:17:45,Between 33.000 and 38.499 EUR,,,,,,
2018-09-14 15:31:48,,,,,,,
2018-09-14 15:44:58,,,,,,,
2018-09-14 18:32:18,,,,"More than $150,000",,,
2018-09-14 18:53:49,Between 66.000 and 76.999 EUR,,,,,,
2018-09-14 22:35:36,,,,"From $70,000 to $89,999",,,
2018-09-15 11:09:29,,,,,,,
2018-09-15 16:15:11,,Between 55.000 and 65.999 EUR,,,,,
2018-09-16 16:07:56,,,"≥ £58,172",,,,
2018-09-17 00:37:12,,,,,,"≥ NZD 85,000 and < NZD 105,000",
2018-09-17 10:13:33,,,"≥ £24,057 and < £32,277",,,,
2018-09-17 11:28:03,,,"≥ £32,277 and < £43,325",,,,
2018-09-17 12:02:07,,,,,,,
2018-09-17 12:13:54,,,"≥ £32,277 and < £43,325",,,,
2018-09-17 12:37:53,,,"≥ £43,325 and < £58,172",,,,
2018-09-17 14:36:36,,,"≥ £32,277 and < £43,325",,,,
2018-09-17 14:39:55,,,,,,,
2018-09-18 09:02:54,,,,,,,
2018-09-18 09:17:42,,,"≥ £43,325 and < £58,172",,,,
2018-09-18 09:44:49,,,,,,,
2018-09-18 10:34:33,,,"≥ £24,057 and < £32,277",,,,
2018-09-18 11:28:24,,,"≥ £24,057 and < £32,277",,,,
2018-09-18 11:29:59,,,"≥ £43,325 and < £58,172",,,,
2018-09-18 13:59:14,,,,,,,
